JunctionID	SJ.Chr	SJ.Start	SJ.Stop	SJ.Strand	Gene	SRR924570.M.proventriculus	SRR924573.F.proventriculus	SRR924582.M.spleen	SRR924585.F.spleen	SRR924202.M.adrenal_gland	SRR924485.M.adipose	SRR924539.F.adipose	SRR924540.M.cerebellum	SRR924541.F.cerebellum	SRR924542.M.cerebrum	SRR924546.F.cerebrum	SRR924547.M.testes	SRR924548.F.ovary	SRR924549.M.heart	SRR924550.F.heart	SRR924551.M.hypothalamus	SRR924552.F.hypothalamus	SRR924553.M.kidney	SRR924554.F.kidney	SRR924555.M.liver	SRR924556.F.liver	SRR924557.M.lung	SRR924558.F.lung	SRR924559.M.breast_muscle	SRR924561.F.breast_muscle	SRR924564.M.sciatic nerve	SRR924567.F.sciatic nerve
Contig1_037	Contig1	205141	205385	-	RJF.Contig1.LOC17.MHCY4v	(0 u : 7 m)	(0 u : 49 m)	(0 u : 1915 m)	(0 u : 899 m)	(0 u : 445 m)	(0 u : 348 m)	(0 u : 488 m)	(0 u : 37 m)	(0 u : 44 m)	(0 u : 15 m)	(0 u : 16 m)	(0 u : 5 m)	(0 u : 78 m)	(0 u : 291 m)	(0 u : 511 m)	(0 u : 84 m)	(0 u : 36 m)	(0 u : 56 m)	(0 u : 628 m)	(0 u : 85 m)	(0 u : 93 m)	(0 u : 1317 m)	(0 u : 1712 m)	(0 u : 31 m)	(0 u : 47 m)	(0 u : 2062 m)	(0 u : 127 m)
Contig1_151	Contig1	379090	379185	+	RJF.Contig1.LOC49.YLEC19d	(0 u : 1 m)	(0 u : 1 m)	(0 u : 17 m)	(0 u : 10 m)	(0 u : 9 m)	(0 u : 3 m)	(0 u : 43 m)	(No Support?)	(0 u : 2 m)	(No Support?)	(No Support?)	(No Support?)	(0 u : 56 m)	(0 u : 5 m)	(0 u : 7 m)	(No Support?)	(No Support?)	(0 u : 1 m)	(0 u : 5 m)	(No Support?)	(0 u : 1 m)	(0 u : 49 m)	(0 u : 42 m)	(0 u : 2 m)	(No Support?)	(0 u : 24 m)	(0 u : 4 m)
Contig1_054	Contig1	228801	228885	-	RJF.Contig1.LOC22.YLEC8a	(0 u : 15 m)	(0 u : 35 m)	(0 u : 1035 m)	(0 u : 350 m)	(0 u : 250 m)	(0 u : 120 m)	(0 u : 174 m)	(0 u : 32 m)	(0 u : 8 m)	(0 u : 7 m)	(0 u : 7 m)	(No Support?)	(0 u : 7 m)	(0 u : 41 m)	(0 u : 73 m)	(0 u : 15 m)	(0 u : 13 m)	(0 u : 18 m)	(0 u : 738 m)	(0 u : 105 m)	(0 u : 74 m)	(0 u : 103 m)	(0 u : 114 m)	(0 u : 20 m)	(0 u : 42 m)	(0 u : 311 m)	(0 u : 122 m)
Contig1_163	Contig1	397306	397431	-	RJF.Contig1.LOC51.MHCY19t	(No Support?)	(No Support?)	(0 u : 14 m)	(0 u : 8 m)	(0 u : 18 m)	(0 u : 1 m)	(0 u : 5 m)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(0 u : 3 m)	(0 u : 8 m)	(0 u : 1 m)	(No Support?)	(0 u : 1 m)	(0 u : 8 m)	(0 u : 4 m)	(No Support?)	(0 u : 1 m)	(0 u : 5 m)	(No Support?)	(No Support?)	(0 u : 23 m)	(0 u : 2 m)
Contig1_074	Contig1	245272	245392	+	RJF.Contig1.LOC27.MHCY7l	(0 u : 3 m)	(3 u : 3 m)	(55 u : 108 m)	(27 u : 67 m)	(56 u : 51 m)	(12 u : 35 m)	(8 u : 32 m)	(18 u : 28 m)	(2 u : 11 m)	(2 u : 6 m)	(5 u : 2 m)	(0 u : 2 m)	(2 u : 4 m)	(8 u : 5 m)	(17 u : 11 m)	(3 u : 15 m)	(6 u : 15 m)	(0 u : 10 m)	(168 u : 129 m)	(4 u : 5 m)	(1 u : 12 m)	(9 u : 10 m)	(17 u : 39 m)	(3 u : 9 m)	(5 u : 12 m)	(86 u : 35 m)	(20 u : 9 m)
Contig1_113	Contig1	327878	328003	-	RJF.Contig1.LOC39.MHCY13e	(No Support?)	(0 u : 1 m)	(0 u : 24 m)	(0 u : 13 m)	(1 u : 129 m)	(0 u : 5 m)	(0 u : 8 m)	(0 u : 14 m)	(0 u : 9 m)	(0 u : 3 m)	(0 u : 6 m)	(No Support?)	(0 u : 1 m)	(0 u : 33 m)	(0 u : 62 m)	(0 u : 30 m)	(0 u : 8 m)	(0 u : 1 m)	(1 u : 128 m)	(0 u : 10 m)	(0 u : 2 m)	(0 u : 25 m)	(0 u : 46 m)	(No Support?)	(0 u : 4 m)	(1 u : 777 m)	(1 u : 26 m)
Contig1_068	Contig1	233883	234147	-	RJF.Contig1.LOC24.YLEC10c	(0 u : 1 m)	(0 u : 5 m)	(0 u : 217 m)	(0 u : 74 m)	(0 u : 53 m)	(0 u : 15 m)	(0 u : 43 m)	(0 u : 7 m)	(0 u : 2 m)	(No Support?)	(0 u : 2 m)	(No Support?)	(0 u : 3 m)	(0 u : 8 m)	(0 u : 11 m)	(0 u : 5 m)	(0 u : 4 m)	(0 u : 3 m)	(0 u : 87 m)	(0 u : 6 m)	(0 u : 19 m)	(0 u : 23 m)	(0 u : 28 m)	(0 u : 5 m)	(0 u : 5 m)	(0 u : 70 m)	(0 u : 20 m)
Contig1_050	Contig1	223846	223940	+	RJF.Contig1.LOC21.MHCY6u	(0 u : 28 m)	(0 u : 84 m)	(3 u : 1731 m)	(0 u : 782 m)	(1 u : 391 m)	(0 u : 396 m)	(2 u : 640 m)	(0 u : 237 m)	(0 u : 140 m)	(1 u : 58 m)	(1 u : 78 m)	(0 u : 3 m)	(0 u : 27 m)	(0 u : 148 m)	(0 u : 267 m)	(0 u : 186 m)	(0 u : 181 m)	(0 u : 59 m)	(2 u : 627 m)	(0 u : 103 m)	(0 u : 98 m)	(1 u : 232 m)	(0 u : 387 m)	(0 u : 23 m)	(0 u : 57 m)	(0 u : 304 m)	(0 u : 94 m)
Contig1_060	Contig1	231765	231849	-	RJF.Contig1.LOC23.YLEC9b	(1 u : 7 m)	(1 u : 54 m)	(22 u : 1424 m)	(1 u : 649 m)	(1 u : 149 m)	(1 u : 127 m)	(1 u : 232 m)	(0 u : 17 m)	(0 u : 7 m)	(0 u : 8 m)	(0 u : 6 m)	(No Support?)	(0 u : 14 m)	(4 u : 63 m)	(0 u : 82 m)	(0 u : 13 m)	(0 u : 5 m)	(0 u : 40 m)	(10 u : 441 m)	(0 u : 91 m)	(0 u : 110 m)	(1 u : 113 m)	(2 u : 174 m)	(0 u : 30 m)	(0 u : 55 m)	(2 u : 166 m)	(2 u : 85 m)
Contig1_107	Contig1	311440	311565	+	RJF.Contig1.LOC37.MHCY12q	(No Support?)	(No Support?)	(21 u : 0 m)	(18 u : 0 m)	(73 u : 0 m)	(5 u : 0 m)	(26 u : 0 m)	(5 u : 0 m)	(5 u : 0 m)	(2 u : 0 m)	(1 u : 0 m)	(No Support?)	(4 u : 0 m)	(5 u : 0 m)	(32 u : 0 m)	(11 u : 0 m)	(3 u : 1 m)	(2 u : 0 m)	(136 u : 1 m)	(11 u : 1 m)	(7 u : 0 m)	(14 u : 0 m)	(23 u : 0 m)	(No Support?)	(1 u : 0 m)	(109 u : 0 m)	(37 u : 0 m)
Contig1_161	Contig1	383982	384139	-	RJF.Contig1.LOC50.MHCY18i	(0 u : 5 m)	(0 u : 18 m)	(0 u : 336 m)	(1 u : 181 m)	(0 u : 149 m)	(3 u : 64 m)	(1 u : 140 m)	(1 u : 23 m)	(0 u : 14 m)	(0 u : 2 m)	(0 u : 6 m)	(0 u : 1 m)	(0 u : 1 m)	(0 u : 37 m)	(0 u : 85 m)	(0 u : 31 m)	(0 u : 16 m)	(0 u : 22 m)	(0 u : 457 m)	(0 u : 28 m)	(0 u : 18 m)	(0 u : 115 m)	(0 u : 190 m)	(0 u : 25 m)	(0 u : 16 m)	(1 u : 369 m)	(0 u : 36 m)
Contig1_130	Contig1	338196	338305	-	RJF.Contig1.LOC42.MHCY14s	(No Support?)	(No Support?)	(0 u : 4 m)	(0 u : 7 m)	(2 u : 12 m)	(0 u : 2 m)	(0 u : 2 m)	(0 u : 2 m)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(0 u : 3 m)	(0 u : 2 m)	(0 u : 3 m)	(0 u : 2 m)	(0 u : 1 m)	(0 u : 2 m)	(0 u : 24 m)	(0 u : 2 m)	(0 u : 4 m)	(0 u : 5 m)	(0 u : 9 m)	(No Support?)	(No Support?)	(0 u : 11 m)	(0 u : 3 m)
Contig1_087	Contig1	269887	270151	+	RJF.Contig1.LOC31.YLEC13d	(No Support?)	(0 u : 5 m)	(0 u : 218 m)	(0 u : 100 m)	(0 u : 36 m)	(0 u : 36 m)	(0 u : 61 m)	(0 u : 3 m)	(0 u : 2 m)	(0 u : 1 m)	(0 u : 1 m)	(No Support?)	(0 u : 16 m)	(0 u : 24 m)	(0 u : 8 m)	(0 u : 4 m)	(0 u : 2 m)	(0 u : 6 m)	(0 u : 82 m)	(0 u : 18 m)	(0 u : 17 m)	(0 u : 41 m)	(0 u : 37 m)	(0 u : 3 m)	(0 u : 1 m)	(0 u : 43 m)	(0 u : 16 m)
Contig1_095	Contig1	273639	273822	-	RJF.Contig1.LOC32.MHCY9i	(0 u : 4 m)	(0 u : 15 m)	(2 u : 401 m)	(0 u : 262 m)	(0 u : 168 m)	(0 u : 83 m)	(0 u : 152 m)	(0 u : 27 m)	(0 u : 16 m)	(0 u : 9 m)	(0 u : 8 m)	(0 u : 2 m)	(0 u : 4 m)	(0 u : 48 m)	(0 u : 88 m)	(0 u : 30 m)	(0 u : 23 m)	(0 u : 18 m)	(1 u : 497 m)	(0 u : 27 m)	(0 u : 27 m)	(0 u : 131 m)	(1 u : 220 m)	(0 u : 27 m)	(1 u : 26 m)	(3 u : 432 m)	(0 u : 54 m)
Contig1_135	Contig1	350784	351048	+	RJF.Contig1.LOC43.YLEC18f	(0 u : 2 m)	(No Support?)	(0 u : 2 m)	(0 u : 4 m)	(0 u : 7 m)	(No Support?)	(0 u : 3 m)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(0 u : 9 m)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(0 u : 1 m)	(No Support?)	(No Support?)	(0 u : 2 m)	(0 u : 3 m)	(No Support?)	(No Support?)	(0 u : 2 m)	(No Support?)
Contig1_112	Contig1	313046	313203	+	RJF.Contig1.LOC37.MHCY12q	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(1 u : 0 m)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(1 u : 0 m)	(No Support?)	(No Support?)	(No Support?)	(3 u : 0 m)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(2 u : 0 m)	(No Support?)
Contig1_086	Contig1	269408	269704	+	RJF.Contig1.LOC31.YLEC13d	(No Support?)	(0 u : 1 m)	(0 u : 6 m)	(0 u : 3 m)	(0 u : 13 m)	(0 u : 6 m)	(0 u : 11 m)	(0 u : 1 m)	(No Support?)	(No Support?)	(0 u : 1 m)	(No Support?)	(0 u : 12 m)	(0 u : 4 m)	(0 u : 5 m)	(0 u : 4 m)	(0 u : 1 m)	(0 u : 1 m)	(0 u : 6 m)	(0 u : 1 m)	(No Support?)	(0 u : 23 m)	(0 u : 17 m)	(0 u : 2 m)	(0 u : 1 m)	(0 u : 45 m)	(0 u : 1 m)
Contig1_018	Contig1	175363	175607	-	RJF.Contig1.LOC13.MHCY1d	(5 u : 0 m)	(26 u : 0 m)	(606 u : 2 m)	(362 u : 2 m)	(90 u : 1 m)	(175 u : 0 m)	(205 u : 0 m)	(14 u : 1 m)	(9 u : 0 m)	(3 u : 0 m)	(5 u : 0 m)	(8 u : 0 m)	(43 u : 0 m)	(78 u : 0 m)	(134 u : 0 m)	(16 u : 0 m)	(16 u : 1 m)	(68 u : 0 m)	(165 u : 2 m)	(36 u : 0 m)	(39 u : 0 m)	(358 u : 0 m)	(738 u : 1 m)	(10 u : 0 m)	(20 u : 0 m)	(194 u : 3 m)	(18 u : 1 m)
Contig1_170	Contig1	408836	408930	-	RJF.Contig1.LOC52.MHCY20o	(0 u : 13 m)	(1 u : 76 m)	(34 u : 3700 m)	(14 u : 2117 m)	(2 u : 271 m)	(3 u : 938 m)	(6 u : 738 m)	(0 u : 41 m)	(0 u : 43 m)	(0 u : 19 m)	(0 u : 15 m)	(0 u : 3 m)	(1 u : 38 m)	(0 u : 308 m)	(5 u : 508 m)	(0 u : 81 m)	(0 u : 48 m)	(1 u : 168 m)	(4 u : 557 m)	(0 u : 121 m)	(2 u : 227 m)	(16 u : 2533 m)	(38 u : 4312 m)	(0 u : 50 m)	(0 u : 79 m)	(4 u : 998 m)	(1 u : 75 m)
Contig1_124	Contig1	335093	335357	+	RJF.Contig1.LOC41.YLEC17e	(No Support?)	(No Support?)	(0 u : 41 m)	(0 u : 22 m)	(0 u : 6 m)	(0 u : 5 m)	(0 u : 3 m)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(0 u : 2 m)	(0 u : 1 m)	(0 u : 4 m)	(No Support?)	(No Support?)	(No Support?)	(0 u : 21 m)	(0 u : 1 m)	(0 u : 2 m)	(0 u : 6 m)	(0 u : 10 m)	(No Support?)	(0 u : 1 m)	(0 u : 7 m)	(0 u : 5 m)
Contig1_121	Contig1	334176	334268	+	RJF.Contig1.LOC41.YLEC17e	(No Support?)	(No Support?)	(0 u : 12 m)	(0 u : 7 m)	(0 u : 2 m)	(0 u : 1 m)	(0 u : 3 m)	(No Support?)	(0 u : 1 m)	(No Support?)	(0 u : 1 m)	(0 u : 1 m)	(No Support?)	(No Support?)	(0 u : 1 m)	(No Support?)	(0 u : 1 m)	(No Support?)	(0 u : 3 m)	(No Support?)	(No Support?)	(0 u : 1 m)	(0 u : 4 m)	(No Support?)	(0 u : 2 m)	(2 u : 4 m)	(0 u : 4 m)
Contig1_093	Contig1	274047	274158	-	RJF.Contig1.LOC32.MHCY9i	(0 u : 3 m)	(1 u : 8 m)	(2 u : 214 m)	(3 u : 139 m)	(0 u : 71 m)	(4 u : 38 m)	(1 u : 70 m)	(1 u : 8 m)	(0 u : 10 m)	(No Support?)	(0 u : 2 m)	(No Support?)	(0 u : 8 m)	(0 u : 25 m)	(3 u : 46 m)	(0 u : 20 m)	(0 u : 11 m)	(0 u : 12 m)	(2 u : 204 m)	(0 u : 10 m)	(0 u : 17 m)	(0 u : 64 m)	(5 u : 123 m)	(0 u : 6 m)	(0 u : 7 m)	(4 u : 298 m)	(0 u : 26 m)
Contig1_045	Contig1	209789	209898	-	RJF.Contig1.LOC19.MHCY5f	(0 u : 33 m)	(0 u : 107 m)	(9 u : 879 m)	(5 u : 594 m)	(22 u : 1039 m)	(6 u : 399 m)	(4 u : 810 m)	(1 u : 103 m)	(3 u : 93 m)	(0 u : 30 m)	(0 u : 43 m)	(0 u : 13 m)	(0 u : 46 m)	(2 u : 339 m)	(13 u : 566 m)	(5 u : 123 m)	(3 u : 83 m)	(3 u : 142 m)	(147 u : 4526 m)	(11 u : 226 m)	(2 u : 171 m)	(6 u : 777 m)	(10 u : 993 m)	(0 u : 37 m)	(2 u : 28 m)	(77 u : 2473 m)	(10 u : 528 m)
Contig1_084	Contig1	268964	269059	+	RJF.Contig1.LOC31.YLEC13d	(0 u : 1 m)	(0 u : 1 m)	(0 u : 17 m)	(0 u : 10 m)	(0 u : 9 m)	(0 u : 3 m)	(0 u : 43 m)	(No Support?)	(0 u : 2 m)	(No Support?)	(No Support?)	(No Support?)	(0 u : 56 m)	(0 u : 5 m)	(0 u : 7 m)	(No Support?)	(No Support?)	(0 u : 1 m)	(0 u : 5 m)	(No Support?)	(0 u : 1 m)	(0 u : 49 m)	(0 u : 42 m)	(0 u : 2 m)	(No Support?)	(1 u : 25 m)	(0 u : 4 m)
Contig1_145	Contig1	374091	374171	-	RJF.Contig1.LOC48.MHCY17a	(0 u : 17 m)	(0 u : 65 m)	(24 u : 2685 m)	(12 u : 1452 m)	(4 u : 1278 m)	(11 u : 692 m)	(9 u : 682 m)	(1 u : 145 m)	(1 u : 85 m)	(1 u : 53 m)	(0 u : 38 m)	(1 u : 6 m)	(3 u : 55 m)	(8 u : 625 m)	(10 u : 1247 m)	(0 u : 272 m)	(0 u : 83 m)	(1 u : 157 m)	(4 u : 1454 m)	(3 u : 203 m)	(2 u : 205 m)	(40 u : 4673 m)	(51 u : 4882 m)	(0 u : 84 m)	(0 u : 115 m)	(44 u : 7546 m)	(1 u : 310 m)
Contig1_152	Contig1	379344	379428	+	RJF.Contig1.LOC49.YLEC19d	(0 u : 1 m)	(No Support?)	(0 u : 1 m)	(No Support?)	(0 u : 5 m)	(No Support?)	(0 u : 2 m)	(No Support?)	(No Support?)	(0 u : 1 m)	(No Support?)	(No Support?)	(0 u : 2 m)	(0 u : 1 m)	(0 u : 2 m)	(0 u : 1 m)	(No Support?)	(No Support?)	(0 u : 9 m)	(No Support?)	(No Support?)	(0 u : 5 m)	(No Support?)	(No Support?)	(No Support?)	(0 u : 19 m)	(No Support?)
Contig1_011	Contig1	159766	159870	+	RJF.Contig1.LOC11.ZNFY2a	(0 u : 17 m)	(0 u : 22 m)	(0 u : 28 m)	(0 u : 11 m)	(2 u : 121 m)	(0 u : 29 m)	(0 u : 42 m)	(1 u : 65 m)	(0 u : 73 m)	(0 u : 22 m)	(0 u : 35 m)	(0 u : 2 m)	(0 u : 10 m)	(0 u : 30 m)	(0 u : 39 m)	(0 u : 86 m)	(0 u : 81 m)	(0 u : 12 m)	(0 u : 182 m)	(0 u : 25 m)	(0 u : 14 m)	(0 u : 31 m)	(0 u : 38 m)	(0 u : 54 m)	(0 u : 94 m)	(1 u : 164 m)	(0 u : 19 m)
Contig1_109	Contig1	312348	312442	+	RJF.Contig1.LOC37.MHCY12q	(2 u : 0 m)	(12 u : 0 m)	(103 u : 2 m)	(88 u : 1 m)	(120 u : 1 m)	(56 u : 0 m)	(101 u : 0 m)	(5 u : 0 m)	(11 u : 0 m)	(6 u : 0 m)	(1 u : 0 m)	(2 u : 0 m)	(21 u : 0 m)	(25 u : 2 m)	(58 u : 1 m)	(10 u : 0 m)	(7 u : 0 m)	(11 u : 0 m)	(230 u : 0 m)	(16 u : 0 m)	(24 u : 0 m)	(97 u : 3 m)	(175 u : 1 m)	(4 u : 0 m)	(8 u : 0 m)	(144 u : 2 m)	(35 u : 0 m)
Contig1_013	Contig1	166681	166789	-	RJF.Contig1.LOC12.MHCY2B2b	(No Support?)	(0 u : 2 m)	(No Support?)	(0 u : 2 m)	(5 u : 72 m)	(0 u : 4 m)	(0 u : 9 m)	(0 u : 1 m)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(0 u : 5 m)	(0 u : 7 m)	(No Support?)	(No Support?)	(0 u : 1 m)	(0 u : 20 m)	(No Support?)	(0 u : 1 m)	(0 u : 3 m)	(0 u : 8 m)	(0 u : 1 m)	(No Support?)	(0 u : 4 m)	(0 u : 3 m)
Contig1_136	Contig1	351156	351378	+	RJF.Contig1.LOC43.YLEC18f	(No Support?)	(No Support?)	(0 u : 3 m)	(0 u : 1 m)	(0 u : 3 m)	(No Support?)	(0 u : 3 m)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(No Support?)	(0 u : 10 m)	(No Support?)	(0 u : 2 m)	(No Support?)	(No Support?)	(No Support?)	(0 u : 1 m)	(0 u : 2 m)	(No Support?)	(0 u : 1 m)	(0 u : 1 m)	(No Support?)	(No Support?)	(0 u : 6 m)	(No Support?)
Contig1_076	Contig1	264828	264953	-	RJF.Contig1.LOC30.MHCY8a	(0 u : 3 m)	(0 u : 12 m)	(0 u : 347 m)	(0 u : 222 m)	(0 u : 1132 m)	(0 u : 104 m)	(0 u : 153 m)	(0 u : 115 m)	(0 u : 86 m)	(0 u : 29 m)	(0 u : 46 m)	(No Support?)	(0 u : 3 m)	(0 u : 407 m)	(0 u : 888 m)	(0 u : 228 m)	(0 u : 69 m)	(0 u : 39 m)	(0 u : 983 m)	(0 u : 182 m)	(0 u : 47 m)	(1 u : 225 m)	(0 u : 392 m)	(0 u : 20 m)	(0 u : 40 m)	(3 u : 6153 m)	(1 u : 255 m)
Contig1_139	Contig1	354177	354271	+	RJF.Contig1.LOC44.MHCY15m	(0 u : 272 m)	(0 u : 291 m)	(0 u : 9 m)	(0 u : 3 m)	(0 u : 112 m)	(0 u : 2 m)	(0 u : 5 m)	(0 u : 1 m)	(No Support?)	(No Support?)	(No Support?)	(0 u : 2 m)	(0 u : 32 m)	(0 u : 81 m)	(0 u : 119 m)	(No Support?)	(No Support?)	(No Support?)	(0 u : 4 m)	(0 u : 5 m)	(0 u : 18 m)	(0 u : 2 m)	(0 u : 2 m)	(0 u : 99 m)	(0 u : 123 m)	(0 u : 4 m)	(0 u : 1 m)
Contig1_169	Contig1	409207	409451	-	RJF.Contig1.LOC52.MHCY20o	(0 u : 5 m)	(0 u : 35 m)	(1 u : 1322 m)	(1 u : 728 m)	(2 u : 210 m)	(0 u : 331 m)	(3 u : 327 m)	(0 u : 39 m)	(0 u : 30 m)	(0 u : 14 m)	(0 u : 15 m)	(0 u : 2 m)	(1 u : 21 m)	(0 u : 137 m)	(3 u : 287 m)	(1 u : 77 m)	(0 u : 30 m)	(0 u : 74 m)	(0 u : 445 m)	(0 u : 62 m)	(0 u : 93 m)	(1 u : 917 m)	(4 u : 1332 m)	(0 u : 40 m)	(0 u : 65 m)	(7 u : 895 m)	(0 u : 80 m)
Contig1_143	Contig1	374954	375079	-	RJF.Contig1.LOC48.MHCY17a	(0 u : 3 m)	(0 u : 12 m)	(1 u : 347 m)	(0 u : 222 m)	(0 u : 1132 m)	(0 u : 104 m)	(0 u : 153 m)	(0 u : 115 m)	(0 u : 86 m)	(0 u : 29 m)	(0 u : 46 m)	(No Support?)	(0 u : 3 m)	(0 u : 407 m)	(0 u : 888 m)	(0 u : 228 m)	(0 u : 70 m)	(0 u : 39 m)	(0 u : 983 m)	(0 u : 182 m)	(0 u : 47 m)	(0 u : 225 m)	(1 u : 392 m)	(0 u : 20 m)	(0 u : 40 m)	(8 u : 6153 m)	(1 u : 255 m)
Contig1_147	Contig1	373519	373632	-	RJF.Contig1.LOC48.MHCY17a	(0 u : 3 m)	(0 u : 23 m)	(9 u : 506 m)	(5 u : 283 m)	(4 u : 1413 m)	(4 u : 124 m)	(6 u : 140 m)	(1 u : 141 m)	(1 u : 101 m)	(1 u : 67 m)	(1 u : 44 m)	(0 u : 3 m)	(0 u : 6 m)	(2 u : 259 m)	(3 u : 477 m)	(0 u : 240 m)	(1 u : 113 m)	(0 u : 40 m)	(8 u : 1916 m)	(1 u : 80 m)	(0 u : 44 m)	(10 u : 658 m)	(6 u : 693 m)	(1 u : 43 m)	(0 u : 37 m)	(31 u : 7057 m)	(0 u : 324 m)
Contig1_080	Contig1	263393	263506	-	RJF.Contig1.LOC30.MHCY8a	(0 u : 3 m)	(0 u : 23 m)	(9 u : 506 m)	(4 u : 283 m)	(4 u : 1413 m)	(4 u : 124 m)	(5 u : 140 m)	(0 u : 141 m)	(1 u : 101 m)	(1 u : 67 m)	(0 u : 44 m)	(0 u : 3 m)	(0 u : 6 m)	(3 u : 259 m)	(3 u : 477 m)	(0 u : 240 m)	(1 u : 113 m)	(0 u : 40 m)	(6 u : 1915 m)	(1 u : 80 m)	(0 u : 44 m)	(10 u : 657 m)	(7 u : 693 m)	(1 u : 43 m)	(0 u : 37 m)	(37 u : 7056 m)	(1 u : 324 m)
Contig1_044	Contig1	210001	210083	-	RJF.Contig1.LOC19.MHCY5f	(0 u : 26 m)	(0 u : 79 m)	(1 u : 798 m)	(3 u : 525 m)	(15 u : 880 m)	(1 u : 237 m)	(3 u : 570 m)	(1 u : 96 m)	(3 u : 83 m)	(0 u : 34 m)	(2 u : 35 m)	(0 u : 9 m)	(0 u : 37 m)	(1 u : 338 m)	(4 u : 550 m)	(3 u : 124 m)	(3 u : 79 m)	(0 u : 105 m)	(100 u : 3682 m)	(2 u : 191 m)	(0 u : 138 m)	(4 u : 609 m)	(10 u : 717 m)	(0 u : 31 m)	(0 u : 58 m)	(77 u : 2266 m)	(9 u : 467 m)
Contig1_097	Contig1	286680	286918	-	RJF.Contig1.LOC33.MHCY10t	(No Support?)	(No Support?)	(0 u : 46 m)	(0 u : 20 m)	(0 u : 9 m)	(0 u : 7 m)	(0 u : 3 m)	(No Support?)	(0 u : 1 m)	(No Support?)	(No Support?)	(0 u : 1 m)	(0 u : 2 m)	(0 u : 4 m)	(0 u : 3 m)	(No Support?)	(0 u : 1 m)	(No Support?)	(0 u : 9 m)	(0 u : 1 m)	(0 u : 3 m)	(0 u : 5 m)	(0 u : 11 m)	(0 u : 1 m)	(0 u : 3 m)	(0 u : 6 m)	(0 u : 1 m)
Contig1_127	Contig1	339135	339375	-	RJF.Contig1.LOC42.MHCY14s	(No Support?)	(0 u : 2 m)	(0 u : 142 m)	(0 u : 69 m)	(0 u : 29 m)	(0 u : 20 m)	(0 u : 28 m)	(0 u : 4 m)	(No Support?)	(No Support?)	(0 u : 2 m)	(No Support?)	(0 u : 20 m)	(0 u : 12 m)	(0 u : 28 m)	(0 u : 5 m)	(0 u : 1 m)	(0 u : 5 m)	(0 u : 51 m)	(0 u : 5 m)	(0 u : 5 m)	(0 u : 77 m)	(0 u : 114 m)	(No Support?)	(0 u : 3 m)	(0 u : 67 m)	(0 u : 9 m)
Contig1_100	Contig1	285741	285850	-	RJF.Contig1.LOC33.MHCY10t	(No Support?)	(1 u : 1 m)	(1 u : 15 m)	(0 u : 2 m)	(0 u : 17 m)	(No Support?)	(0 u : 2 m)	(No Support?)	(No Support?)	(No Support?)	(0 u : 1 m)	(No Support?)	(No Support?)	(0 u : 2 m)	(0 u : 3 m)	(No Support?)	(No Support?)	(No Support?)	(0 u : 13 m)	(0 u : 1 m)	(0 u : 2 m)	(0 u : 3 m)	(0 u : 5 m)	(No Support?)	(No Support?)	(0 u : 36 m)	(0 u : 4 m)
Contig1_029	Contig1	193406	193531	-	RJF.Contig1.LOC16.MHCY3h	(No Support?)	(0 u : 2 m)	(0 u : 15 m)	(0 u : 8 m)	(0 u : 39 m)	(0 u : 4 m)	(0 u : 6 m)	(1 u : 7 m)	(0 u : 2 m)	(No Support?)	(0 u : 2 m)	(No Support?)	(No Support?)	(0 u : 21 m)	(0 u : 25 m)	(0 u : 8 m)	(0 u : 2 m)	(0 u : 1 m)	(0 u : 44 m)	(0 u : 6 m)	(0 u : 1 m)	(0 u : 3 m)	(0 u : 6 m)	(0 u : 3 m)	(No Support?)	(0 u : 160 m)	(0 u : 12 m)
Contig1_153	Contig1	379534	379830	+	RJF.Contig1.LOC49.YLEC19d	(No Support?)	(0 u : 1 m)	(0 u : 6 m)	(0 u : 3 m)	(0 u : 13 m)	(0 u : 6 m)	(0 u : 11 m)	(0 u : 1 m)	(No Support?)	(No Support?)	(0 u : 1 m)	(No Support?)	(0 u : 12 m)	(0 u : 4 m)	(0 u : 6 m)	(0 u : 5 m)	(0 u : 2 m)	(0 u : 1 m)	(0 u : 6 m)	(0 u : 1 m)	(No Support?)	(0 u : 23 m)	(0 u : 17 m)	(0 u : 2 m)	(0 u : 1 m)	(1 u : 47 m)	(0 u : 1 m)
